vocab,hanja,dict_mean
자아-도취,"[""自 스스로 자"", ""我 나 아"", ""陶 질그릇 도"", ""醉 취할 취""]","스스로에게 황홀하게 빠지는 일.
"
자애,"[""慈 사랑 자"", ""愛 사랑 애""]","아랫사람에게 베푸는 도타운 사랑.
"
잠재-하다,"[""潛 잠길 잠"", ""在 있을 재""]","겉으로 드러나지 않고 속에 잠겨 있거나 숨어 있다.
"
잠적-하다,"[""潛 잠길 잠"", ""跡 자취 적""]","종적을 아주 숨기다.
"
잡화-점,"[""雜 섞일 잡"", ""貨 재화 화"", ""店 가게 점""]","잡다한 일용품을 파는 상점.
"
적발-하다,"[""摘 딸 적"", ""發 필 발""]","숨겨져 있는 일이나 드러나지 아니한 것을 들추어내다.
"
전락-하다,"[""轉 구를 전"", ""落 떨어질 락""]","「1」아래로 굴러떨어지다.
「2」나쁜 상태나 타락한 상태에 빠지다.
"
절식-하다,"[""節 마디 절"", ""食 밥 식""]","음식을 절제하여 먹거나 간소하게 먹다.
"
제명-되다,"[""除 덜 제"", ""名 이름 명""]","구성원 명단에서 이름이 빠져 구성원 자격이 박탈되다.
"
제빙-기,"[""製 지을 제"", ""氷 얼음 빙"", ""機 틀 기""]","얼음을 만드는 기계.
"
조달-하다,"[""調 고를 조"", ""達 통달할 달""]","자금이나 물자 따위를 대어 주다.
"
조력-자,"[""助 도울 조"", ""力 힘 력"", ""者 놈 자""]","도와주는 사람.
"
조문-하다,"[""弔 조상할 조"", ""問 물을 문""]","남의 죽음에 대하여 슬퍼하는 뜻을 드러내어 상주(喪主)를 위문하다.
"
조물-주,"[""造 지을 조"", ""物 물건 물"", ""主 주인 주""]","우주의 만물을 만들고 다스리는 신.
"
조부,"[""祖 할아비 조"", ""父 아비 부""]","「1」부모의 아버지를 이르는 말.
「2」부모의 아버지와 한 항렬에 있는 남자를 통틀어 이르는 말.
"
조삼모사,"[""朝 아침 조"", ""三 석 삼"", ""暮 저물 모"", ""四 넉 사""]","간사한 꾀로 남을 속여 희롱함을 이르는 말. 중국 송나라의 저공(狙公)의 고사로, 먹이를 아침에 세 개, 저녁에 네 개씩 주겠다는 말에는 원숭이들이 적다고 화를 내더니 아침에 네 개, 저녁에 세 개씩 주겠다는 말에는 좋아하였다는 데서 유래한다.
"
조정-하다,"[""調 고를 조"", ""整 가지런할 정""]","「1」어떤 기준이나 실정에 맞게 정돈하다.
「2」날 따위를 만들 때 잔손질로 매만지다.
"
조제-하다,"[""調 고를 조"", ""製 지을 제""]","「1」물건을 주문에 따라서 만들다.
「2」조절하여 만들다.
"
존치-되다,"[""存 있을 존"", ""置 둘 치""]","제도나 설비 따위가 없어지지 아니하고 그대로 두어지다.
"
좌우-되다,"[""左 왼 좌"", ""右 오른 우""]","어떤 일에 영향이 주어져 지배되다.
"
좌지우지-하다,"[""左 왼쪽 좌"", ""之 갈 지"", ""右 오른쪽 우"", ""之 갈 지""]","이리저리 제 마음대로 휘두르거나 다루다.
"
주야-장천,"[""晝 낮 주"", ""夜 밤 야"", ""長 길 장"", ""川 내 천""]","밤낮으로 쉬지 아니하고 연달아.
"
주임,"[""主 주인 주"", ""任 맡길 임""]","직장, 단체 따위에서 어떤 일을 주로 담당함. 또는 그런 사람.
"
증량-하다,"[""增 더할 증"", ""量 수량 량""]","수량이나 무게가 늘다. 또는 수량이나 무게를 늘리다.
"
증류-주,"[""蒸 찔 증"", ""溜 물방울 류"", ""酒 술 주""]","일단 만든 술을 다시 증류하여 알코올 성분을 많이 함유하게 한 술. 소주나 위스키 따위가 있다.
"
증설-하다,"[""增 더할 증"", ""設 베풀 설""]","더 늘려 설치하다.
"
지고지순-하다,"[""至 지극할 지"", ""高 높을 고"", ""至 지극할 지"", ""純 순수할 순""]","더할 수 없이 높고 순수하다.
"
지대-하다,"[""至 지극할 지"", ""大 큰 대""]","더할 수 없이 크다.
"
지방^선거,"[""地 땅 지"", ""方 모 방"", ""選 가릴 선"", ""擧 들 거""]","지방 자치법에 따라 지방 의회 의원 및 지방 자치 단체장을 선출하는 선거.
"
지분,"[""持 가질 지"", ""分 나눌 분""]","공유물이나 공유 재산 따위에서, 공유자 각자가 소유하는 몫. 또는 그런 비율.
"
지양-하다,"[""止 그칠 지"", ""揚 날릴 양""]","「1」더 높은 단계로 오르기 위하여 어떠한 것을 하지 아니하다.
「2」변증법의 중요한 개념으로, 어떤 것을 그 자체로는 부정하면서 오히려 한층 더 높은 단계에서 이것을 긍정하다. 모순 대립 하는 일을 고차적으로 통일하여 해결하면서 현재의 상태보다 더욱 진보하는 일이다.
"
지척,"[""咫 길이 지"", ""尺 자 척""]","아주 가까운 거리.
"
지체-되다,"[""遲 더딜 지"", ""滯 막힐 체""]","때가 늦추어지거나 질질 끌어지다.
"
직관-하다,"[""直 곧을 직"", ""觀 볼 관""]","「1」감관의 작용으로 직접 외계의 사물에 관한 구체적인 지식을 얻다.
「2」감각, 경험, 연상, 판단, 추리 따위의 사유 작용을 거치지 아니하고 대상을 직접적으로 파악하다.
"
직권,"[""職 벼슬 직"", ""權 권세 권""]","직무상의 권한. 공무원이나 법인 따위의 기관이 그 지위나 자격으로 행할 수 있는 사무나 그런 사무의 범위를 이른다.
"
진상,"[""陳 늘어놓을 진"", ""狀 형상 상""]","일의 사정이나 상황을 말함.
"
질주-하다,"[""疾 병 질"", ""走 달릴 주""]","빨리 달리다.
"
질책-하다,"[""叱 꾸짖을 질"", ""責 꾸짖을 책""]","꾸짖어 나무라다.
"
집권-하다,"[""集 모을 집"", ""權 권세 권""]","권력을 한군데로 모으다.
"
집요-하다,"[""執 잡을 집"", ""拗 꺾일 요""]","몹시 고집스럽고 끈질기다.
"
집적-하다,"[""集 모을 집"", ""積 쌓을 적""]","모아서 쌓다.
"
징계-하다,"[""懲 징계할 징"", ""戒 경계할 계""]","「1」허물이나 잘못을 뉘우치도록 나무라며 경계하다.
「2」부정이나 부당한 행위에 대하여 제재를 가하다.
「3」공무원의 복무 의무 위반 행위에 대하여 국가나 공공 단체가 사용자로서의 지위에서 제재를 가하다.
"
창해-상전,"[""滄 큰바다 창"", ""海 바다 해"", ""桑 뽕나무 상"", ""田 밭 전""]","뽕나무밭이 변하여 푸른 바다가 된다는 뜻으로, 세상일의 변천이 심함을 비유적으로 이르는 말.
"
채결-하다,"[""採 캘 채"", ""決 결단할 결""]","의장이 의안(議案)의 채택 가부를 물어 결정하다.
"
채무,"[""債 빚 채"", ""務 힘쓸 무""]","재산권의 하나. 특정인이 다른 특정인에게 어떤 행위를 하여야 할 의무를 이른다.
"
채석-하다,"[""採 캘 채"", ""石 돌 석""]","「1」돌산이나 바위에서 석재(石材)로 쓸 돌을 캐거나 떠 내다.
「2」취미로 돌을 채집하다.
"
채용-하다,"[""採 캘 채"", ""用 쓸 용""]","「1」사람을 골라서 쓰다.
「2」어떤 의견, 방안 등을 고르거나 받아들여서 쓰다.
"
처분-하다,"[""處 곳 처"", ""分 나눌 분""]","「1」처리하여 치우다.
「2」일정한 대상을 어떻게 처리할 것인가에 대하여 지시하거나 결정하다.
「3」행정·사법 관청이 특별한 사건에 대하여 해당 법규를 적용하다.
「4」행정 주체가 구체적 사실에 관한 법 집행으로서 공법 행위 가운데 권력적 단독 행위를 행하다. 영업 면허, 공기업의 특허, 조세의 부과 따위를 하는 일이다.
"
처연-하다,"[""凄 쓸쓸할 처"", ""然 그럴 연""]","기운이 차고 쓸쓸하다.
"
천인공노-하다,"[""天 하늘 천"", ""人 사람 인"", ""共 함께 공"", ""怒 성낼 노""]","누구나 분노할 만큼 증오스럽거나 도저히 용납할 수 없다. 하늘과 사람이 함께 노한다는 뜻에서 나온 말이다.
"
천진난만-하다,"[""天 하늘 천"", ""眞 참 진"", ""爛 찬란할 란"", ""漫 질펀할 만""]","말이나 행동에 아무런 꾸밈이 없이 그대로 나타날 만큼 순진하고 천진하다.
"
천체,"[""天 하늘 천"", ""體 몸 체""]","우주에 존재하는 모든 물체. 항성, 행성, 위성, 혜성, 성단, 성운, 성간 물질, 인공위성 따위를 통틀어 이르는 말이다.
"
철두-철미,"[""徹 통할 철"", ""頭 머리 두"", ""徹 통할 철"", ""尾 꼬리 미""]","처음부터 끝까지 철저하게.
"
철통-같다,"[""鐵 쇠 철"", ""桶 통 통""]","준비나 대책이 튼튼하고 치밀하여 조금도 허점이 없다.
"
첨산-하다,"[""添 더할 첨"", ""算 셈 산""]","이미 정한 것 외에 더 넣어서 계산하다.
"
첨예-하다,"[""尖 뾰족할 첨"", ""銳 날카로울 예""]","「1」날카롭고 뾰족하다.
「2」상황이나 사태 따위가 날카롭고 격하다.
"
청렴결백-하다,"[""淸 맑을 청"", ""廉 청렴할 렴"", ""潔 깨끗할 결"", ""白 흰 백""]","마음이 맑고 깨끗하며 탐욕이 없다.
"
청빈-하다,"[""淸 맑을 청"", ""貧 가난할 빈""]","성품이 깨끗하고 재물에 대한 욕심이 없어 가난하다.
"
청산-유수,"[""靑 푸를 청"", ""山 뫼 산"", ""流 흐를 류"", ""水 물 수""]","푸른 산에 흐르는 맑은 물이라는 뜻으로, 막힘없이 썩 잘하는 말을 비유적으로 이르는 말.
"
청순가련-하다,"[""淸 맑을 청"", ""純 순수할 순"", ""可 옳을 가"", ""憐 불쌍히여길 련""]","깨끗하고 순수하며 동정이 가도록 애틋하다.
"
청약-하다,"[""請 청할 청"", ""約 맺을 약""]","일정한 내용의 계약을 체결할 것을 목적으로 하는 일방적·확정적 의사 표시를 하다.
"
체급,"[""體 몸 체"", ""級 등급 급""]","권투·레슬링·유도·역도 따위에서, 경기자의 체중에 따라서 매겨진 등급.
"
체념-하다,"[""諦 살필 체"", ""念 생각 념""]","희망을 버리고 아주 단념하다.
"
체득-하다,"[""體 몸 체"", ""得 얻을 득""]","「1」몸소 체험하여 알다.
「2」뜻을 깊이 이해하여 실천으로써 본뜨다.
"
초월-하다,"[""超 뛰어넘을 초"", ""越 넘을 월""]","「1」어떠한 한계나 표준을 뛰어넘다.
「2」경험이나 인식의 범위를 벗어나 그 바깥 또는 그 위에 위치하다. 스콜라 철학에서는 아리스토텔레스의 범주에 들지 않는 존재, 신(神), 선(善)이라는 개념의 본연의 자세를 말한다. 칸트 철학에서는 초감성적인 것이 우리들의 경험에서 독립하는 일을 말하며, 실존 철학에서는 무자각적인 일상적 존재의 입장에서 철학적 자각의 입장으로 넘어서 나아가는 일을 말한다.
"
촌방,"[""村 마을 촌"", ""坊 동네 방""]","사람들이 살고 있는 시골의 부락.
"
추태,"[""醜 더러울 추"", ""態 모양 태""]","더럽고 지저분한 태도나 짓.
"
축경,"[""祝 빌 축"", ""慶 경사 경""]","경사스러운 일을 축하함.
"
축배,"[""祝 빌 축"", ""杯 잔 배""]","축하하는 뜻으로 마시는 술. 또는 그런 술잔.
"
축사,"[""祝 빌 축"", ""辭 말씀 사""]","축하의 뜻을 나타내는 글을 쓰거나 말을 함. 또는 그 글이나 말.
"
침수-되다,"[""沈 잠길 침"", ""水 물 수""]","「1」물에 잠기게 되다.
「2」지반이 내려앉거나 해수면이 높아져 육지가 바닷물 속으로 가라앉게 되다.
"
침식-하다,"[""浸 잠길 침"", ""蝕 좀먹을 식""]","비, 하천, 빙하, 바람 따위의 자연 현상이 지표를 깎다.
"
탈선-하다,"[""脫 벗을 탈"", ""線 줄 선""]","[1]「1」기차나 전차 따위의 바퀴가 선로를 벗어나다.
[1]「2」말이나 행동 따위가 나쁜 방향으로 빗나가다.
[2]목적 이외의 딴 길로 빠지다.
"
탈세-하다,"[""脫 벗을 탈"", ""稅 세금 세""]","납세자가 납세액의 전부 또는 일부를 내지 아니하다.
"
탈영-하다,"[""脫 벗을 탈"", ""營 경영할 영""]","군인이 자기가 속한 병영에서 무단으로 빠져나와 도망하다.
"
통섭,"[""統 거느릴 통"", ""攝 다스릴 섭""]","전체를 도맡아 다스림.
"
통속-적,"[""通 통할 통"", ""俗 풍속 속"", ""的 과녁 적""]","[Ⅰ]「1」세상에 널리 통하는 것.
[Ⅰ]「2」비전문적이고 대체로 저속하며 일반 대중에게 쉽게 통할 수 있는 것.
[Ⅱ]「1」세상에 널리 통하는.
[Ⅱ]「2」비전문적이고 대체로 저속하며 일반 대중에게 쉽게 통할 수 있는.
"
통수-하다,"[""統 거느릴 통"", ""帥 장수 수""]","무리를 거느려 다스리다.
"
통습,"[""通 통할 통"", ""習 익힐 습""]","「1」일반적인 풍습.
「2」모든 것에 걸쳐 두루 배움.
「3」사물의 진리를 잘 분별함.
"
통신-문,"[""通 통할 통"", ""信 소식 신"", ""文 글월 문""]","통신 내용을 적은 글.
"
통용-되다,"[""通 통할 통"", ""用 쓸 용""]","「1」일반적으로 두루 쓰이다.
「2」어떤 말이나 사물이 어떤 뜻이나 수단으로 널리 쓰이다.
「3」서로 넘나들어 두루 쓰이다.
"
통찰-하다,"[""洞 골 동"", ""察 살필 찰""]","「1」예리한 관찰력으로 사물을 꿰뚫어 보다.
「2」새로운 사태에 직면하여 장면의 의미를 재조직화함으로써 갑작스럽게 문제를 해결하다. 쾰러는 학습이 시행착오에 의하여 일어나는 것이 아니라 이러한 과정에 의하여 일어난다고 보았다.
「3」심리 치료에서, 환자가 이전에는 인식하지 못하였던 자신의 심적 상태를 알게 되다.
"
통탄-하다,"[""痛 아플 통"", ""歎 탄식할 탄""]","몹시 탄식하다.
"
특명-하다,"[""特 특별할 특"", ""命 목숨 명""]","특별히 임명하다.
"
폐막-식,"[""閉 닫을 폐"", ""幕 장막 막"", ""式 법 식""]","일정 기간 동안 행사를 치르고 난 뒤 그것을 끝맺기 위하여 맨 마지막으로 하는 행사.
"
폐백,"[""幣 화폐 폐"", ""帛 비단 백""]","「1」임금에게 바치거나 제사 때 신에게 바치는 물건. 또는 그런 일.
「2」신부가 처음으로 시부모를 뵐 때 큰절을 하고 올리는 물건. 또는 그런 일. 주로 대추나 포 따위를 올린다.
「3」혼인 전에 신랑이 신붓집에 보내는 예물.
「4」윗사람이나 점잖은 사람을 만나러 갈 때 가지고 가는 선물.
"
폐-혈관,"[""肺 허파 폐"", ""血 피 혈"", ""管 대롱 관""]","허파 동맥, 허파 정맥 및 허파 꽈리에 얽혀 있는 많은 모세 혈관을 통틀어 이르는 말.
"
포괄-하다,"[""包 쌀 포"", ""括 묶을 괄""]","일정한 대상이나 현상 따위를 한데 묶어서 어떤 범위나 한계 안에 모두 들게 하다.
"
포용-하다,"[""包 쌀 포"", ""容 얼굴 용""]","남을 너그럽게 감싸 주거나 받아들이다.
"
폭설,"[""暴 사나울 폭"", ""雪 눈 설""]","갑자기 많이 내리는 눈.
"
폭소-하다,"[""爆 불터질 폭"", ""笑 웃음 소""]","웃음이 갑자기 세차게 터져 나오다.
"
풍문,"[""風 바람 풍"", ""聞 들을 문""]","바람처럼 떠도는 소문.
"
풍습,"[""風 바람 풍"", ""習 익힐 습""]","풍속과 습관을 아울러 이르는 말.
"
하산-하다,"[""下 아래 하"", ""山 뫼 산""]","[1]「1」산에서 내려오거나 내려가다.
[1]「2」깨달음을 얻거나 생활할 수 없어 산에서의 생활을 그만두다.
[2]땔나무, 숯, 재목 따위를 산에서 날라 내려가거나 내려오다.
"
하직-하다,"[""下 아래 하"", ""直 곧을 직""]","[1]「1」먼 길을 떠날 때 웃어른께 작별을 고하다.
[1]「2」서울을 떠나는 벼슬아치가 임금에게 작별을 아뢰다.
[2]「1」무슨 일이 마지막이거나 무슨 일을 그만두다.
[2]「2」어떤 곳에서 떠나다.
[3]벼슬아치가 당직이 끝나 집으로 가다.
"
하행,"[""下 아래 하"", ""行 다닐 행""]","「1」아래쪽으로 내려감.
「2」서울에서 지방으로 내려감. 또는 그런 교통수단.
"
하행-선,"[""下 아래 하"", ""行 다닐 행"", ""線 줄 선""]","중앙에서 지방으로 내려가는 도로나 선로.
"
학령-기,"[""學 배울 학"", ""齡 나이 령"", ""期 기약할 기""]","초등학교에서 의무 교육을 받아야 할 나이의 시기. 만 6~12세이다.
"
한산-하다,"[""閑 한가할 한"", ""散 흩어질 산""]","「1」일이 없어 한가하다.
「2」인적이 드물어 한적하고 쓸쓸하다.
"
한탄-하다,"[""恨 원통할 한"", ""歎 탄식할 탄""]","원통하거나 뉘우치는 일이 있을 때 한숨을 쉬며 탄식하다.
"
함축-미,"[""含 머금을 함"", ""蓄 쌓을 축"", ""美 아름다울 미""]","겉으로 드러내지 아니하고 속에 간직하고 있는 아름다움.
"
합금,"[""合 합할 합"", ""金 쇠 금""]","하나의 금속에 성질이 다른 하나 이상의 금속이나 비금속을 섞어서 녹여 새로운 성질의 금속을 만듦. 또는 그렇게 만든 금속.
"
합리-적,"[""合 합할 합"", ""理 다스릴 리"", ""的 과녁 적""]","[Ⅰ]이론이나 이치에 합당한 것.
[Ⅱ]이론이나 이치에 합당한.
"
합법-적,"[""合 합할 합"", ""法 법 법"", ""的 과녁 적""]","[Ⅰ]법령이나 규범에 맞는 것.
[Ⅱ]법령이나 규범에 맞는.
"
합사-하다,"[""合 합할 합"", ""祀 제사 사"" ]","둘 이상의 혼령을 한곳에 모아 제사를 지내다.
"
합의-금,"[""合 합할 합"", ""意 뜻 의"", ""金 쇠 금""]","합의를 하기 위하여 주는 돈.
"
해빙-하다,"[""解 풀 해"", ""氷 얼음 빙"" ]","「1」얼음이 녹아 풀리다.
「2」(비유적으로) 서로 대립 중이던 세력 사이의 긴장이 완화되다.
"
해외^파병,"[""海 바다 해"", ""外 바깥 외"", ""派 물갈래 파"", ""兵 군사 병""]","자기 나라의 군대나 군함, 군용기 따위를 군사적 목적으로 다른 나라의 영토나 영해, 영공에 파견하는 일.
"
해저,"[""海 바다 해"", ""底 밑 저""]","바다의 밑바닥.
"
형량,"[""刑 형벌 형"", ""量 헤아릴 량""]","죄인에게 내리는 형벌의 정도. 보통 죄인이 복역해야 할 기간을 이른다.
"
형벌,"[""刑 형벌 형"", ""罰 죄 벌""]","범죄에 대한 법률의 효과로서 국가 따위가 범죄자에게 제재를 가함. 또는 그 제재.
"
형부,"[""兄 맏 형"", ""夫 사내 부""]","언니의 남편을 이르거나 부르는 말.
"
형사-법,"[""刑 형벌 형"", ""事 일 사"", ""法 법 법""]","국가 형벌권의 내용과 그 집행 방법 따위를 규정한 법률. 형법, 형사 소송법, 형의 집행 및 수용자의 처우에 관한 법률 따위를 이른다.
"
형언-하다,"[""形 모양 형"", ""言 말씀 언"" ]","형용하여 말하다.
"
형용-하다,"[""形 모양 형"", ""容 얼굴 용"" ]","말이나 글, 몸짓 따위로 사물이나 사람의 모양을 나타내다.
"
형평,"[""衡 저울대 형"", ""平 평평할 평""]","균형이 맞음. 또는 그런 상태.
"
형형색색,"[""形 모양 형"", ""形 모양 형"", ""色 빛 색"", ""色 빛 색""]","형상과 빛깔 따위가 서로 다른 여러 가지.
"
호걸,"[""豪 호걸 호"", ""傑 뛰어날 걸""]","지혜와 용기가 뛰어나고 기개와 풍모가 있는 사람.
"
호기-성,"[""好 좋을 호"", ""氣 기운 기"", ""性 성질 성""]","세균 따위가 산소가 있을 때에 생육하는 성질.
"
호번-하다,"[""浩 넓을 호"", ""繁 많을 번""]","넓고 크며 번거롭게 많다.
"
호소-력,"[""呼 부를 호"", ""訴 호소할 소"", ""力 힘 력""]","강한 인상을 주어 마음을 사로잡을 수 있는 힘.
"
화농-성,"[""化 될 화"", ""膿 고름 농"", ""性 성품 성""]","종기가 곪아서 고름이 생길 성질.
"
화로,"[""火 불 화"", ""爐 화로 로""]","숯불을 담아 놓는 그릇. 주로 불씨를 보존하거나 난방을 위하여 쓴다.
"
화상^회의,"[""畫 그림 화"", ""像 모양 상"", ""會 모일 회"", ""議 의논할 의""]","네트워크로 연결된 통신 기기의 화면으로 상대를 보면서 하는 회의.
"
화색,"[""和 화할 화"", ""色 빛 색""]","얼굴에 드러나는 온화하고 환한 빛.
"
화성-학,"[""和 화할 화"", ""聲 소리 성"", ""學 배울 학""]","화음에 기초를 두고 그 구성, 연결, 방법 및 음 조직을 연구하는 분야. 대위법과 더불어 가장 기초적인 분야이다.
"
화소,"[""畫 그림 화"", ""素 바탕 소""]","텔레비전이나 사진 전송에서, 화면을 전기적으로 분해한 최소의 단위 면적. 영상 전체의 화소 총수는 화질을 비교하는 데 유용하다.
"
환연-히,"[""渙 풀릴 환"", ""然 그럴 연""]","의혹이 풀리어 가뭇없이.
"
환원-하다,"[""還 돌아올 환"", ""元 으뜸 원""]","[1]「1」본디의 상태로 다시 돌아가다. 또는 그렇게 되게 하다.
[1]「2」잡다한 사물이나 현상이 어떤 근본적인 것으로 바뀌다. 또는 그렇게 되게 하다.
[2]「1」어떤 원자, 분자, 이온 따위가 전자를 얻다.
[2]「2」물질 중에 있는 어떤 원자의 산화수가 감소하다.
[2]「3」산화물에서 산소가 빠지거나 어떤 물질이 수소와 결합하다.
"
환절-기,"[""換 바꿀 환"", ""節 마디 절"", ""期 기약할 기""]","철이 바뀌는 시기.
"
활강-하다,"[""滑 미끄러울 활"", ""降 내릴 강""]","비탈진 곳을 미끄러져 내려오거나 내려가다.
"
활주-하다,"[""滑 미끄러울 활"", ""走 달릴 주""]","「1」땅이나 물 위를 미끄러져 내닫다.
「2」항공기가 이착륙하기 위하여 빨리 내닫다.
"
황천-길,"[""黃 누를 황"", ""泉 샘 천""]","사람이 죽은 뒤에 그 혼이 가서 산다고 하는 세상으로 가는 길.
"
회귀-하다,"[""回 돌아올 회"", ""歸 돌아갈 귀""]","한 바퀴 돌아 제자리로 돌아오거나 돌아가다.
"
회답-하다,"[""回 돌 회"", ""答 대답 답""]","물음이나 편지 따위에 반응하다.
"
회복-세,"[""回 돌아올 회"", ""復 회복할 복"", ""勢 형세 세""]","병이나 경기 따위가 차츰 나아가는 상태.
"
회부-하다,"[""回 돌아올 회"", ""附 붙을 부""]","물건이나 사건 따위를 어떤 대상이나 과정으로 돌려보내거나 넘기다.
"
회수-하다,"[""回 돌아올 회"", ""收 거둘 수""]","도로 거두어들이다.
"
회신-료,"[""回 돌아올 회"", ""信 믿을 신"", ""料 헤아릴 료""]","회답하는 통신을 보내는 데에 드는 요금.
"
회심,"[""會 모일 회"", ""心 마음 심""]","마음에 흐뭇하게 들어맞음. 또는 그런 상태의 마음.
"
횡재-하다,"[""橫 가로 횡"", ""財 재물 재""]","뜻밖에 재물을 얻다.
"
후견-인,"[""後 뒤 후"", ""見 볼 견"", ""人 사람 인""]","「1」역량이나 능력이 부족한 사람의 뒤를 돌보아 주는 사람.
「2」후견의 직무를 행하는 사람. 친권자의 지정(指定)에 의하는 지정 후견인, 친족회(親族會)나 법원의 선정(選定)에 의하는 선정 후견인, 법률의 규정에 의하는 법정 후견인 등이 있다.
"
